keyword_id,keyword,count
3095,antiquary,2
15395,antique,1
10371,antisocial personality disorder,2
208513,anxiety,1
4616,apache,1
4106,apartheid,7
33632,apartment,5
33347,apartment building,2
210541,apathy,1
14759,ape,6
188242,aphrodisiac,1
12332,apocalypse,14
226233,apollo program,1
33786,apollo s,1
160423,apology,1
4073,apoplectic stroke,1
3033,apostle,3
8796,appalachia,2
10164,apparition,1
154882,appeal,1
3758,appearance,1
180061,applause,1
33673,apple,2
157935,apple computer,1
161762,apple tree,1
193201,apprendista,1
4488,apprentice,5
5310,approach,2
2585,appropriation of another human being,1
6267,approved school ,1
154681,april fool's day,1
2269,aquarium,5
192707,aqueduct,2
173259,arab,3
1975,arabian,2
221272,arachnophobia,1
1679,arbitrary law,6
10547,arcade,1
194942,arch villain,1
179568,archaeological dig,1
41586,archaeologist,13
3648,archangel gabriel,2
172683,archdiocese,1
181900,archeological dig,1
223344,archeologist,2
184134,archeology ,7
4393,archer,3
53995,archery,3
2301,architect,7
12436,architecture,2
10374,archive footage,1
8721,arctic,4
8975,ardennen,1
177163,area 51,3
1395,arena,6
166457,ares,1
10596,argentina,2
165718,argentine president,1
41379,argument,4
155697,aristocrat,3
347,aristotle,1
1859,arizona,3
230910,ark,1
2854,ark of the covenant,2
5521,arkansas,2
168868,arm in cast,1
157789,arm ripped off,2
156157,arm sling,1
160856,armada,1
14587,armadillo,1
12654,armageddon,2
196917,armed robbery,1
4898,armored car,3
162740,arms,1
2001,arms deal,5
6163,arms dealer,6
6092,army,32
191110,army base,2
158787,army captain,1
156883,army general,1
187288,army sergeant,1
168277,around the world,1
2692,arranged marriage,8
5638,arrest,11
199274,arrested,1
232763,arrested development,1
171070,arrogance,3
11715,arrow,2
158482,arrow in back,1
11363,arson,6
15233,arsonist,1
14893,art,6
175492,art class,1
155795,art dealer,1
15478,art gallery,6
171453,art history,1
11130,art house,2
171758,art imitates life,1
8734,art school,1
9082,art student,1
222850,art teacher,1
156031,art theft,3
14789,art thief,4
155649,arthouse,1
160129,artial arts,1
9854,artifact,3
209027,artificial,1
159150,artificial insemination,3
310,artificial intelligence,26
157961,artillery,1
2679,artist,10
168213,artist colony,1
2936,artists' life,1
6022,arts,2
5375,artwork,1
161315,asbestos,1
3518,ascot,1
209818,asgard,2
160846,ashes,2
208471,ashram,1
1293,asia,3
14988,asian,2
237850,asian lead,1
237849,asian man,1
179321,asian woman,1
8046,aspen,1
167584,aspen colorado,1
192134,asperger's,1
181318,asperger's syndrome,1
183133,aspiring actor,2
232260,aspiring musician,1
10228,aspiring singer,3
180413,aspiring writer,2
782,assassin,42
441,assassination,28
191600,assassination attempt,3
6093,assault,7
1376,assault rifle,4
233037,assaulting an officer,1
4927,assertion,1
4967,assignment,3
3487,assistant,6
159422,assumed identity,1
6137,assurance,1
1423,asteroid,7
5504,asthma,2
3287,aston martin,1
14626,astronaut,21
10222,astronomer,1
10652,astrophysicist,1
160331,astrophysics,1
2884,asylum,8
8778,atheist,6
10456,athlete,7
2076,atlanta,2
10530,atlantic city,2
1913,atlantic ocean,4
2768,atlantis,2
1815,atomic bomb,11
18268,atomic reactor,1
11872,atrocity,2
1534,attachment to nature,1
10563,attack,11
5034,attempt to escape,7
177465,attempted jailbreak,1
2013,attempted murder,6
18087,attempted rape,3
18083,attempted robbery,2
190890,attempted strangulation,1
155793,attempted suicide,2
5529,attention deficit hyperactivity disorder (adhd),1
155619,attic,5
15319,attraction,2
236374,attractiveness,1
2096,auction,4
198318,auctioneer,1
10038,audi,1
164090,audience,2
172717,audio cassette,2
154901,audio recording,1
2380,audio tape,3
33928,audition,5
6894,aunt,3
180861,aunt nephew incest,1
158199,aunt nephew relationship,2
12335,aunt niece relationship,3
220979,aura,1
160069,auroch,1
226626,aurora borealis,1
161188,austin texas,1
5657,australia,18
3094,australian,2
193459,australian aborigine,2
68650,australian man,1
193760,australian outback,4
1201,austria,5
10818,author,25
1002,authority,2
1646,autism,8
194135,autistic savant,1
3796,auto,8
155236,auto accident,2
170219,auto theft,1
8574,auto-tuning,3
6683,autobiography,2
168856,autocide,1
236778,autocracy,1
3019,autograph,2
14545,automaton,1
6134,automobile industry,2
159953,automobile racing,7
169626,autonomous shadow,1
4970,autonomy,2
4548,autopilot,1
171416,autopsy room,1
5833,autoritian education,3
178883,autumn,1
15216,avant-garde,1
13002,avatar,1
10168,aviation,2
235972,awful leader,1
168135,awkwardness,3
169123,awol,2
3598,ax,8
225938,axe,1
155627,axe in the head,1
157758,axe murder,2
173299,ayn rand,2
156393,aztec indian,1
193575,b horror,2
11034,b movie,2
181210,b-boying,1
155449,b-girl,1
181211,b-girling,1
3049,baader-meinhof group,1
191682,babes,1
18161,baboon,1
1009,baby,20
184499,baby born,1
234456,baby geniuses,2
174281,baby left on doorstep,1
171244,baby powder,1
4725,baby-snatching,3
2604,babysitter,4
3270,baccarat,1
1338,bachelor,10
221475,bachelorette party,1
12415,back from the dead,1
197094,back stabbing,1
187282,back to school,1
4742,background singer,1
172354,backhand slap,1
160192,backpack,1
5891,backpacker,5
9249,backstage,1
172266,backwards,1
5812,bad boss,4
10978,bad cop,2
161794,bad dream,1
6188,bad father-in-law,2
215571,bad kids,1
4671,bad luck,4
208795,bad mother,1
2374,bad mother-in-law,4
5069,bad power,1
1866,bad smell,1
167128,badge,1
183418,badger,1
10856,bag of money,1
11464,bag over head,3
5894,bagdad,2
41178,baghdad,1
188645,bagpipes,1
3345,bahamas,7
14657,bail,1
168333,bail jumper,2
163815,baja california,1
7397,bakery,2
185002,balance,1
163969,baldness,1
192096,bali,1
7202,balkan war,2
2283,ball,5
187256,ballerina,1
10551,ballet,8
4118,ballet dancer,2
9903,balloon,5
10106,ballroom dancing,1
2672,baltimore,2
158938,baltimore maryland,3
9558,balzen,1
4051,ban from profession,1
227106,banana boat,1
33624,band,3
33474,band singer,1
157325,bandage,1
187821,bandana,1
33344,bandit,1
234073,bandits,1
171346,bandleader,1
3432,bangkok,5
156053,bangladesh,1
5149,banishment,2
974,bank,19
186757,bank clerk,1
214810,bank fraud,2
191845,bank heist,2
238183,bank loan,1
1929,bank manager,2
2492,bank robber,8
15363,bank robbery,11
155445,bank vault,1
3515,banker,4
6126,banking,3
2298,bankrupt,2
157296,bankruptcy,1
1010,bar,22
188934,bar brawl,1
208043,bar exam,1
188933,bar fight,3
3903,bar mitvah,1
14665,barbarian,4
235791,barbarian horde,1
5731,barbecue,1
11246,barbed wire,2
189368,barber,1
158192,barbershop,1
5462,barbie,1
107,barcelona spain,4
397,bare knuckle boxing,1
166816,bare knuckle fighting,1
3875,barn,7
208590,barn raising,1
5878,baroness,1
7246,barricade,2
2223,barrier ice,2
183637,barrio,2
2182,bars and restaurants,3
3458,bartender,2
6417,base,1
1480,baseball,24
3605,baseball bat,3
11460,baseball card,1
178369,baseball fan,1
167876,baseball field,1
178368,baseball pitcher,1
159201,baseball player,2
229043,baseball scout,1
185952,baseball stadium,1
163440,based on adaptation,1
165340,based on article,4
160887,based on board game,2
10244,based on cartoon,4
15101,based on children's book,6
9717,based on comic book,52
11825,based on comic strip,3
179411,based on fairy tale,4
165317,based on film,5
185343,based on folk tale,1
18712,based on graphic novel,9
162862,based on greek myth,2
14641,based on memoir,1
818,based on novel,197
10181,based on play,14
178640,based on radio show,1
235135,based on real events,1
13000,based on short film,2
156866,based on short story,4
158375,based on stage musical,12
172280,based on supposedly true story,2
206042,based on the bible,1
10542,based on toy,2
185722,based on true events,13
9672,based on true story,51
10988,based on tv series,18
41645,based on video game,30
223438,based on young adult novel,43
9866,basement,7
4682,basement garage,1
6334,basic rights and human rights,1
6496,basketball,13
177218,basketball court,1
177208,basketball game,1
177231,basketball hoop,1
176746,basketball team,2
178269,bass guitarist,1
5155,bat,3
176262,bat attack,1
1822,bath,1
4652,bath house,1
2565,bath tub,2
173502,bathhouse,1
2069,bathing,2
5897,bathing accident,1
221652,bathrobe,1
472,bathroom,1
193674,bathroom humor,3
14558,bathtub,3
230775,batman,3
209618,baton rouge,1
156318,bats,1
166696,battering,1
14643,battle,31
3994,battle assignment,4
4933,battle for power,3
196367,battle for survival,2
185723,battle of gettysburg,1
10686,battle of the bands,1
185037,battle of the isonzo,1
163096,battle of the sexes,1
10141,battlefield,7
160860,battleship,1
6603,baustelle,1
33403,bayonet,1
9750,bayou,1
170472,bb gun,1
158713,bdsm,4
966,beach,25
