company_id,company,count
36616,Amusement Park Films,1
81133,Amy Robinson Productions,1
8689,An Olive Branch Productions,1
4251,Anagram Pictures Inc.,1
2906,Anarchist's Convention Films,1
450,Anarchos Productions,5
16839,Anchor Bay Entertainment,1
5860,Anchor Bay Films,1
11547,Ancine,1
8908,Andalasia Productions,1
22791,Andale Pictures,1
1683,Andell Entertainment,3
2313,Andrea Sperling Productions,2
11996,Andreevsky Flag Film Company,1
19194,Andrew Lauren Productions (ALP),1
79539,Angel City Pictures,1
89133,Angel Eyes Productions,1
2996,Angel films,1
12087,Angry Films,2
9965,Anima Estudios,1
26995,Animal Kingdom,2
8089,Animal Logic,4
63105,Animal Planet,1
30217,Animated Family Films,1
15196,Animation Picture Company,1
51312,Animationwerks,1
4135,Animus Films,1
867,Anka Film,1
21450,Ankor-Film,1
13184,Annapurna Pictures,9
34710,Annuit Coeptis Entertainment II,1
21041,Annuit Coeptis Entertainment Inc.,1
739,Anomaly Entertainment,1
10039,Anonymous Content,16
30420,Anonymous Content,1
14679,Anouchka Films,1
4950,Antares Produzione Cinematografica,1
6538,Antena 3 Films,3
11737,Antena 3 Televisión,2
23818,Anthem Pictures,1
50496,Anthem Productions,1
23912,Antidote Films (I),2
17462,Antietam Filmworks,1
20664,Anton Capital Entertainment (ACE),6
49386,Antzworks,1
8833,Anvil Films,1
8111,Apaches Entertainment,2
10105,Apatow Productions,20
33832,Aperture Entertainment,2
1076,Apipoulaï,1
22542,Apjac International,1
16850,ApolloMedia Distribution,5
19951,ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I),1
19528,ApolloProScreen Filmproduktion,1
23648,Apostle Productions,1
15464,Apotheosis Media Group,1
11956,Apparatus Productions,2
562,Appian Way,9
5346,Applause Pictures,1
57435,Applecross,1
28048,Applehead Pictures,1
57626,April Films,1
13829,Apropos Films,1
28811,Aquafilms,1
56482,Arachnid Productions Ltd.,1
3272,Aramid Entertainment Fund,5
10280,Arc Productions,3
11112,Arcade Pictures,2
7543,Arcadia Motion Pictures,3
41640,Archer Gray,1
1471,Archer Street Productions,2
55776,Arco Films S.L,1
26281,Ardustry Entertainment,2
38736,Arena,1
54860,Argonaut Pictures,1
6305,Argyle Enterprises,1
53194,Ariane Mararía Films,1
3960,ArieScope Pictures,1
22675,Arion Communications Ltd.,1
76098,Aristos Films,1
57946,Arka Media Works,1
22512,Arlington Road Productions Corporation,1
7453,Armada Films,1
35849,Armory Films,1
16775,Arnold Kopelson Productions,2
14787,Arrowstorm Entertainment,1
10086,Arsénico Producciones,1
31604,Art In Motion,1
8769,Art Linson Productions,6
3451,Art Pictures Studio,2
304,Artcam y Fonds Sud Cinéma,1
201,Arte,4
6111,Arte France,3
6916,Arte France Cinéma,4
23561,Artemis Films,1
60682,Artemple - Hollywood,1
3240,Artfire Films,2
5359,Artic Productions LLC,1
2394,Artina Films,2
2188,Artisan Entertainment,10
23911,Artist International,1
23913,Artist International Management,1
46695,Artists Independent Network,1
18620,Artists Production Group (APG),3
8145,Artists Public Domain,1
718,Arts Council of England,7
42498,Arturo González Producciones Cinematográficas S.A.,1
11773,Artémis Productions,1
34558,Asahi Soft Drinks Company,1
1204,Ascendant Pictures,3
7829,Ascension Pictures,1
21892,Ascension Productions,1
26025,Ascot Elite Entertainment Group,1
14576,Ascot Elite Home Entertainment,1
84797,Asghar Farhadi Productions,1
11982,Ashton Productions,1
20289,Asia Union Film & Entertainment Ltd.,1
53464,Asis Productions,1
3033,Asmik Ace Entertainment,1
7151,Assassin Films,1
4377,Associated General Films,2
10313,Astral Bellevue Pathé,1
